time,x,y,26453,27170,27183,27157,27180,27141,27160
1599809924657846450,-42.10350717,40.29310196,-96,0,0,0,0,0,0
1599809925008216381,-42.10350717,40.29310196,-95,0,0,0,0,0,0
1599809925714334964,-42.10350717,40.29310196,-95,0,0,0,0,0,0
1599809926077552795,-42.10350717,40.29310196,-97,0,0,0,0,0,0
1599809926447715520,-42.10350717,40.29310196,-95,0,0,0,0,0,0
1599809926804048299,-42.10350717,40.29310196,-96,0,0,0,0,0,0
1599809927157144784,-42.10350717,40.29310196,-96,0,0,0,0,0,0
1599809927513963699,-42.10350717,40.29310196,-96,0,0,0,0,0,0
1599809927868133783,-42.10350717,40.29310196,-97,0,0,0,0,0,0
1599809928581980705,-42.10350717,40.29310196,-99,0,0,0,0,0,0
1599809928942651033,-42.10350717,40.29310196,-96,0,0,0,0,0,0
1599809929301704406,-42.10350717,40.29310196,-96,0,0,0,0,0,0
1599809929660152435,-41.70294039,40.20704727,-96,0,0,0,0,0,0
1599809930015808105,-41.61354055,40.1875561,-96,0,0,0,0,0,0
1599809930371192932,-41.53932895,40.17116705,-97,0,0,0,0,0,0
1599809930724764347,-41.44118718,40.14952513,-98,0,0,0,0,0,0
1599809931432951450,-41.24483553,40.10283997,-96,0,0,0,0,0,0
1599809931788579702,-41.14327384,40.08045347,-96,0,0,0,0,0,0
1599809932148038864,-41.15580846,40.06856423,-97,0,0,0,0,0,0
1599809932511662960,-41.04795661,40.04451958,-99,0,0,0,0,0,0
1599809933228245019,-40.87286014,40.00500506,-94,0,0,0,0,0,0
1599809933941010236,-40.69819245,39.96586508,-96,0,0,0,0,0,0
1599809934299160003,-40.59622284,39.94301083,-98,0,0,0,0,0,0
1599809934661052942,-40.51880296,39.92494503,-95,0,0,0,0,0,0
1599809935019000291,-40.45703118,39.88637535,-94,0,0,0,0,0,0
1599809935744227886,-40.28359052,39.84013874,-97,0,0,0,0,0,0
1599809936098778486,-40.1835948,39.81156008,-94,0,0,0,0,0,0
1599809936471458911,-40.1121235,39.7905359,-95,0,0,0,0,0,0
1599809936835662126,-40.01508944,39.76076047,-94,0,0,0,0,0,0
1599809937194434404,-39.94117591,39.73745803,-94,0,0,0,0,0,0
1599809937545576095,-39.84942768,39.70755129,-94,0,0,0,0,0,0
1599809937905108690,-39.77854095,39.67506262,-94,0,0,0,0,0,0
1599809938262507438,-39.70622953,39.65009675,-91,0,0,0,0,0,0
1599809938619742631,-39.61261691,39.61638061,-89,0,0,0,0,0,0
1599809938986688852,-39.54316248,39.59084562,-91,0,0,0,0,0,0
1599809939341945171,-39.44361216,39.55300684,-94,0,0,0,0,0,0
1599809939700443506,-39.35281431,39.51748382,-94,0,0,0,0,0,0
1599809940418741941,-39.18204585,39.44764541,-97,0,0,0,0,0,0
1599809940779575109,-39.13820839,39.40792289,-94,0,0,0,0,0,0
1599809941133790016,-39.07686825,39.38097164,-93,0,0,0,0,0,0
1599809941494649887,-39.00038565,39.34746575,-91,0,0,0,0,0,0
1599809942207134485,-38.83881365,39.27642629,-92,0,0,0,0,0,0
1599809942560795068,-38.78253475,39.2516287,-93,0,0,0,0,0,0
1599809942922358751,-38.72030662,39.22421245,-93,0,0,0,0,0,0
1599809943285961151,-38.67456513,39.20402052,-92,0,0,0,0,0,0
1599809943989746093,-38.58784142,39.1004408,-92,0,0,0,0,0,0
1599809944353806734,-38.55176419,39.08316569,-92,0,0,0,0,0,0
