time,x,y,A24,A19,A05,A20,A12,A18,A04,A11,distance
1.60E+18,-42.10350717,40.29310196,0,0,44,0,0,54,40,74,0
1.60E+18,-41.07772721,40.05114994,0,0,47,0,0,52,45,81,0.02549995455
1.60E+18,-39.86984398,39.71429103,0,0,62,0,0,62,46,0,0.02649992192
1.60E+18,-38.79990948,39.25931755,0,0,52,0,0,60,54,0,0.01849998318
1.60E+18,-38.05512978,38.79062932,0,0,52,0,0,64,40,0,0.02649999904
1.60E+18,-37.00172165,38.36633467,0,0,40,0,0,54,40,0,0.01949999929
1.60E+18,-35.59882388,38.35933608,0,0,40,0,0,48,40,83,0.01949998227
1.60E+18,-35.0620874,37.75508363,0,0,40,0,0,44,40,75,0.01849999394
1.60E+18,-33.73940985,37.88490752,0,0,40,0,0,43,40,81,0.02199994878
1.60E+18,-33.37898239,36.91561654,0,0,40,0,0,45,40,72,0.0219999872
1.60E+18,-32.64521703,36.47249842,0,0,40,0,0,44,40,77,1.59E-14
1.60E+18,-32.63706981,36.22614355,0,0,40,0,0,42,40,0,0.001999915899
1.60E+18,-32.89990568,35.90009737,0,0,52,0,0,40,40,78,0.01349998772
1.60E+18,-33.31497873,35.58467232,0,0,47,0,0,45,40,0,0.006999983703
1.60E+18,-33.74925789,35.31905943,0,0,51,0,0,48,40,0,0.01749989242
1.60E+18,-34.0307494,35.35183869,0,0,60,0,0,50,40,0,0.03507625804
1.60E+18,-35.17124565,35.85154111,0,0,58,0,0,48,40,0,0.01999995344
1.60E+18,-35.84264552,36.38023129,0,0,50,0,0,56,40,0,0.02499996726
1.60E+18,-37.12293734,36.71465978,0,0,46,0,0,50,40,0,0.02299994645
1.60E+18,-38.58333283,36.73324628,0,0,40,0,0,53,40,78,0.0264999759
1.60E+18,-39.47249335,36.49603537,0,0,40,0,0,49,40,0,0.03199998138
1.60E+18,-40.99595602,36.1378904,0,0,40,0,0,51,40,75,0.03449999875
1.60E+18,-42.34766075,36.26633954,0,0,40,0,0,63,40,70,0.02149999922
1.60E+18,-43.60247731,36.3028562,0,0,40,0,0,56,40,69,0.0224999337
