time,x,y,A0,A01,A02,A04,A06,A10,A9,A11,A12,A15,A16,A17,A19,A20,A24
1.60135435668458E+018,49.6563842768632,5.42889527345717,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0
1.60135436168458E+018,50.8586881435414,6.65256172904786,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0
1.60135436678454E+018,52.2293240361387,8.14732013241173,0,0,40,43,0,0,0,0,0,0,0,0,0,0,0
1.60135437162457E+018,53.7007070783917,9.398740274925,0,0,40,40,74,0,0,0,0,0,0,0,0,0,0
1.60135437674458E+018,55.2750629095457,10.6889733220786,0,0,41,40,81,0,0,0,0,0,0,0,0,0,0
1.60135438158458E+018,56.7717803851001,11.9208131608973,0,0,50,40,73,0,0,0,0,0,0,0,0,0,0
1.60135438676461E+018,58.4004832689416,13.2157395843363,0,0,58,40,73,0,0,0,0,0,0,0,0,0,0
1.60135439160458E+018,60.0295398465488,14.2169497575122,0,0,68,40,73,0,0,0,0,0,0,0,0,0,0
1.60135439668458E+018,61.8503493035045,15.1270508298502,0,0,65,40,73,0,0,0,0,0,0,0,0,0,0
1.60135440160454E+018,63.4819916261896,16.2099721390415,0,0,50,40,67,0,0,0,0,0,0,0,0,0,0
1.60135440672459E+018,65.3062556345481,17.1017494574311,0,0,49,40,72,0,0,0,0,0,0,0,0,0,0
1.60135441174458E+018,67.1124530425362,17.9839978089095,75,0,49,40,63,0,0,0,0,0,0,0,0,0,0
1.60135441660458E+018,68.7984287824809,18.8988133685476,80,0,53,40,65,0,0,0,0,0,0,0,0,0,0
1.60135442168456E+018,69.7608498925244,18.796989849466,78,0,0,40,64,0,0,0,0,0,0,0,0,0,0
1.60135442656461E+018,70.6218729150203,18.5873704474369,71,0,0,40,55,0,0,0,0,0,0,0,0,0,0
1.60135443156458E+018,71.0749883208829,18.5132391806161,69,0,0,40,53,0,0,0,0,0,0,0,0,0,0
1.60135443672458E+018,71.7014244871368,18.3834630911259,71,0,0,40,53,0,0,0,0,0,0,0,0,0,0
1.60135444162458E+018,73.5869616096882,17.9172379569818,70,0,0,40,49,0,0,0,0,0,0,0,0,0,0
1.60135444658458E+018,75.418791608597,17.1956321307187,71,0,0,40,49,0,0,0,0,0,0,0,0,0,0
1.60135445176457E+018,77.3434018561718,16.4224685462909,75,0,0,40,48,0,0,0,0,0,0,0,0,0,0
1.60135445668458E+018,79.1635291100994,15.7114105495976,0,0,0,40,53,0,0,0,0,0,0,0,0,0,0
1.60135446160459E+018,81.0012072299615,14.9851995902272,76,0,0,40,56,0,0,0,0,0,0,0,0,0,0
1.60135446668458E+018,82.8251567357941,14.1290331128673,75,0,0,45,56,0,0,0,0,0,0,0,0,0,0
1.60135447178461E+018,84.6015422725965,13.1435984078268,67,0,0,40,56,0,0,0,0,0,0,0,0,0,0
1.60135447668459E+018,86.3516070871048,12.2754621394215,69,0,0,46,52,0,0,0,0,0,0,0,0,0,0
1.60135448160458E+018,88.0731515659615,11.3016424326839,62,0,0,40,44,0,0,0,0,0,0,0,0,0,0
1.60135448668458E+018,89.7416521291389,10.1723861091609,66,0,0,40,47,0,0,0,0,0,0,0,0,0,0
1.60135449176458E+018,91.4317021421631,9.03817746496794,65,0,0,44,44,0,0,0,0,0,0,0,0,0,0
1.60135449668458E+018,92.9615736352793,7.82096954855362,65,0,0,47,43,0,0,0,0,0,0,0,0,0,0
1.60135450166458E+018,94.4509419837682,6.49562872754889,72,0,0,44,43,0,0,0,0,0,0,0,0,0,0
1.60135450666458E+018,95.9582575539023,5.19101221394893,0,0,0,47,40,0,0,0,0,0,0,0,0,0,0
1.60135451166458E+018,97.0145707328092,4.239901660353,69,0,0,47,46,0,0,0,0,0,0,0,0,0,0
1.60135451674458E+018,97.7741500398756,3.43019900627974,67,0,0,51,40,0,0,0,0,0,0,0,0,0,0
1.60135452166458E+018,99.1822284395743,2.08651139380283,64,0,0,49,44,0,0,0,0,0,0,0,0,0,0
1.60135452670458E+018,100.600458756878,0.659859834645614,60,0,0,53,49,0,0,0,0,0,0,0,0,0,0
